labels,Recall,Precision
AM General Hummer SUV 2000,1.0,0.9444
Acura RL Sedan 2012,0.881,0.8605
Acura TL Sedan 2012,1.0,0.74
Acura TL Type-S 2008,0.975,0.9286
Acura TSX Sedan 2012,0.8654,0.9783
Acura Integra Type R 2001,1.0,0.8936
Acura ZDX Hatchback 2012,0.85,0.9189
Aston Martin V8 Vantage Convertible 2012,0.8413,0.8154
Aston Martin V8 Vantage Coupe 2012,0.7297,0.7941
Aston Martin Virage Convertible 2012,0.7333,0.9429
Aston Martin Virage Coupe 2012,0.8491,0.8654
Audi RS 4 Convertible 2008,0.8824,0.9677
Audi A5 Coupe 2012,0.881,0.6271
Audi TTS Coupe 2012,0.5319,0.7812
Audi R8 Coupe 2012,0.9118,0.9688
Audi V8 Sedan 1994,0.8333,0.7
Audi 100 Sedan 1994,0.6444,0.7632
Audi 100 Wagon 1994,0.7778,0.7955
Audi TT Hatchback 2011,0.7872,0.5522
Audi S6 Sedan 2011,0.9286,0.8667
Audi S5 Convertible 2012,0.8182,0.8438
Audi S5 Coupe 2012,0.6182,0.6667
Audi S4 Sedan 2012,0.72,0.973
Audi S4 Sedan 2007,0.9143,0.7805
Audi TT RS Coupe 2012,0.6744,0.7632
BMW ActiveHybrid 5 Sedan 2012,0.9474,0.8
BMW 1 Series Convertible 2012,0.9608,0.98
BMW 1 Series Coupe 2012,1.0,1.0
BMW 3 Series Sedan 2012,0.8043,0.8222
BMW 3 Series Wagon 2012,0.9,0.8654
BMW 6 Series Convertible 2007,0.7647,0.7647
BMW X5 SUV 2007,0.9535,0.8913
BMW X6 SUV 2012,0.9231,0.973
BMW M3 Coupe 2012,1.0,0.9636
BMW M5 Sedan 2010,0.9231,1.0
BMW M6 Convertible 2010,0.898,0.8462
BMW X3 SUV 2012,0.973,0.973
BMW Z4 Convertible 2012,1.0,1.0
Bentley Continental Supersports Conv. Convertible 2012,0.8919,0.8919
Bentley Arnage Sedan 2009,0.9767,0.9545
Bentley Mulsanne Sedan 2011,0.9286,0.8966
Bentley Continental GT Coupe 2012,0.6,0.8889
Bentley Continental GT Coupe 2007,0.875,0.6034
Bentley Continental Flying Spur Sedan 2007,0.8367,0.9535
Bugatti Veyron 16.4 Convertible 2009,0.7619,0.8421
Bugatti Veyron 16.4 Coupe 2009,0.85,0.8095
Buick Regal GS 2012,1.0,1.0
Buick Rainier SUV 2007,0.9189,0.9189
