bbox_x1,bbox_y1,bbox_x2,bbox_y2,label,fname,labels
39,116,569,375,13,cars_train/00001.jpg,Audi TTS Coupe 2012
36,116,868,587,2,cars_train/00002.jpg,Acura TL Sedan 2012
85,109,601,381,90,cars_train/00003.jpg,Dodge Dakota Club Cab 2007
621,393,1484,1096,133,cars_train/00004.jpg,Hyundai Sonata Hybrid Sedan 2012
14,36,133,99,105,cars_train/00005.jpg,Ford F-450 Super Duty Crew Cab 2012
259,289,515,416,122,cars_train/00006.jpg,Geo Metro Convertible 1993
88,80,541,397,88,cars_train/00007.jpg,Dodge Journey SUV 2012
20,126,1269,771,166,cars_train/00009.jpg,Mitsubishi Lancer Sedan 2012
51,93,601,393,48,cars_train/00011.jpg,Buick Verano Sedan 2012
6,62,499,286,185,cars_train/00012.jpg,Toyota Sequoia SUV 2012
30,36,418,307,134,cars_train/00013.jpg,Hyundai Elantra Sedan 2007
31,246,778,540,84,cars_train/00014.jpg,Dodge Caravan Minivan 1997
32,77,589,379,192,cars_train/00015.jpg,Volvo C30 Hatchback 2012
27,49,611,396,171,cars_train/00016.jpg,Plymouth Neon Coupe 1999
3,8,190,147,72,cars_train/00018.jpg,Chevrolet Malibu Sedan 2007
247,287,1366,761,191,cars_train/00019.jpg,Volkswagen Beetle Hatchback 2012
17,281,961,596,56,cars_train/00020.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007
212,538,1893,1131,35,cars_train/00022.jpg,BMW M6 Convertible 2010
34,87,567,343,193,cars_train/00025.jpg,Volvo 240 Sedan 1993
45,115,585,382,85,cars_train/00028.jpg,Dodge Ram Pickup 3500 Crew Cab 2010
28,139,1564,1126,179,cars_train/00029.jpg,Spyker C8 Coupe 2009
55,318,446,564,153,cars_train/00031.jpg,Land Rover Range Rover SUV 2012
12,31,471,350,138,cars_train/00032.jpg,Hyundai Elantra Touring Hatchback 2012
37,63,614,397,132,cars_train/00034.jpg,Hyundai Veracruz SUV 2012
223,87,1111,670,153,cars_train/00035.jpg,Land Rover Range Rover SUV 2012
138,41,521,223,103,cars_train/00036.jpg,Ferrari 458 Italia Coupe 2012
31,87,616,344,37,cars_train/00037.jpg,BMW Z4 Convertible 2012
16,89,459,326,96,cars_train/00038.jpg,Dodge Charger SRT-8 2009
53,113,614,350,104,cars_train/00039.jpg,Fisker Karma Sedan 2012
61,55,566,408,12,cars_train/00041.jpg,Audi A5 Coupe 2012
28,61,622,371,190,cars_train/00042.jpg,Volkswagen Golf Hatchback 1991
220,193,537,364,37,cars_train/00044.jpg,BMW Z4 Convertible 2012
12,108,489,297,185,cars_train/00045.jpg,Toyota Sequoia SUV 2012
84,248,1102,899,193,cars_train/00047.jpg,Volvo 240 Sedan 1993
166,543,887,903,172,cars_train/00049.jpg,Porsche Panamera Sedan 2012
41,181,607,465,90,cars_train/00051.jpg,Dodge Dakota Club Cab 2007
39,29,774,395,147,cars_train/00052.jpg,Jeep Grand Cherokee SUV 2012
161,191,425,307,14,cars_train/00053.jpg,Audi R8 Coupe 2012
58,562,1528,1081,96,cars_train/00054.jpg,Dodge Charger SRT-8 2009
32,48,472,267,52,cars_train/00056.jpg,Cadillac Escalade EXT Crew Cab 2007
11,35,256,173,64,cars_train/00058.jpg,Chevrolet Avalanche Crew Cab 2012
